review_id,nama_pengguna,rating,komentar,tanggal,rating_makanan,rating_layanan,rating_suasana,cabang,platform,tanggal_scraping
Ci9DQUlRQUNvZENodHljRjlvT2xneWRYQmFNbEJSWmtoUGExaGhZMnBwTFVkaFEzYxAB,andi kasfaditha,5,"MasyaAllah.. Suasana nya Nyaman,.makanan nya enak ..Dan pelayanan nya juga Ok Dan Ramah ,Rekomen juga untuk bawa anak soalnya bisa kasi makan ikan pasti anak suka deeeh…
…
…

Makasih sudah melayani dngan Baik @Yuli",5 hari lalu,5,5,5,Saoenk Cobek Perintis,Google Maps,2026-05-14 18:49:30
Ci9DQUlRQUNvZENodHljRjlvT201SFIyZEdXVFJCYkdOSVIyTkRjVEV0YWtGb1RtYxAB,Ria Rezeki Sudarmin,5,"Meeting berjalan lancar dengan fasilitas yg nyaman, sarana mendukung,dan makanan yg enak dari saoenk cobek, pelayanan atas nama Ambar sangat bagus",5 hari lalu,5,5,5,Saoenk Cobek Perintis,Google Maps,2026-05-14 18:49:30
Ci9DQUlRQUNvZENodHljRjlvT2w5b1pGUkRURk5KUzBadVpHczVXRUpLVjNwMlkxRRAB,Store Online001,5,,5 hari lalu,5,5,5,Saoenk Cobek Perintis,Google Maps,2026-05-14 18:49:30
Ci9DQUlRQUNvZENodHljRjlvT2pkQlNDMUdOR2RMYW5aWmFqSk9MVkJNVkhWd2JHYxAB,ANDERIAS KADI,5,,6 hari lalu,,,,Saoenk Cobek Perintis,Google Maps,2026-05-14 18:49:30
Ci9DQUlRQUNvZENodHljRjlvT2taak0zWmlielEwTFdWS1dXWXdjbkpTU2tkQ04zYxAB,dian maya,3,Pesan ayam bakar madu tapi yg datang ayam bakar madu dingin.. gag ada hangat2nya..  🙃🫠,seminggu lalu,3,4,4,Saoenk Cobek Perintis,Google Maps,2026-05-14 18:49:30
Ci9DQUlRQUNvZENodHljRjlvT2poaE1VTTRRMUkxZUVoeFRsOWlVRzkyVjFGbmVVRRAB,Masunggang Kristina,5,"Semua makanan enak dengan rasa dan aroma yg sedap, tempat parkir luas,dan kapasitas pengunjung banyak cocok untuk berbagai acara",2 minggu lalu,5,5,5,Saoenk Cobek Perintis,Google Maps,2026-05-14 18:49:30
Ci9DQUlRQUNvZENodHljRjlvT2tKT1lXZERSMkU0ZGxoR1oyVmFkRFZUUzJ4cVVrRRAB,Masna Abadi,5,Gazebo bagus di kelilingi kolam ikan. Makanan enak semua,3 minggu lalu,5,5,5,Saoenk Cobek Perintis,Google Maps,2026-05-14 18:49:30
Ci9DQUlRQUNvZENodHljRjlvT21VMVVVOVVWRE56YW1kV1NXZzFXRU00UWtOU2JXYxAB,Amelisa Amel,5,,3 minggu lalu,,,,Saoenk Cobek Perintis,Google Maps,2026-05-14 18:49:30
Ci9DQUlRQUNvZENodHljRjlvT2xKR1ZGZDRNR2xDVnpCcU4wcFFNVzFDZDBOc1pIYxAB,Natan tamberong,5,Saemua makanan nya maknyuussss,sebulan lalu,5,5,5,Saoenk Cobek Perintis,Google Maps,2026-05-14 18:49:30
Ci9DQUlRQUNvZENodHljRjlvT25walFuaFJNa2RQYVZSVExUaFZPRkF3WjB0WmNuYxAB,Nurul Ramadhana,5,,sebulan lalu,5,5,5,Saoenk Cobek Perintis,Google Maps,2026-05-14 18:49:30
