review_id,nama_pengguna,rating,komentar,tanggal,rating_makanan,rating_layanan,rating_suasana,cabang,platform,tanggal_scraping
Ci9DQUlRQUNvZENodHljRjlvT25aR1VVZDBOelIyVEVaV1VsQjNkVkpYUzJKMFJVRRAB,ummu Muhammad,1,"saya datang bersama keluarga di jam 7 , banyak menu yang sudah tidak ready apalagi seperti nasi dan mie goreng bahkan sampai telur dadar pun katanya tidak bisa, jadi kami pesan ayam bakar saja dan datang dalam keadaan dingin sekali, nasi juga dingin, lombok rasanya sudah aneh, tolong diperbaiki lagi, sangat tidak pantas rumah makan apalagi sekelas saoenk cobek mengeluarkan makanan yang dingin ke customer, apalagi untuk ayam bakar sepertinya tidak dibakar hanga di oles bumbu saja entah karyawan lagi mager atau bagaimana padahal baru jam 7 dan waktu tutup masih 3 jam lagi dan kondisinya juga tidak begitu ramai",seminggu lalu,1,3,3,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:09
Ci9DQUlRQUNvZENodHljRjlvT25KTlQzY3dUbWRDVVhrd1QyVk9jMEV4TWs1UFYwRRAB,CV.Aryenata Utama,1,Es buah basi,seminggu lalu,2,5,4,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:09
Ci9DQUlRQUNvZENodHljRjlvT2pWclpsTjRWMGcxTldkWVRYQkxPV1JOZFRNeVNHYxAB,Dian Wardasari,5,,3 minggu lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:09
Ci9DQUlRQUNvZENodHljRjlvT2kxYVdFRkpTbEZmV1hWSk1XSjFZa2RYYmpoV1ZXYxAB,Fitri Hendra,4,,sebulan lalu,4,5,4,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:09
Ci9DQUlRQUNvZENodHljRjlvT2xacVEyZDJURGMwWmxGVk5rSlNSeTEzY1ZGNFdIYxAB,Nur Yetti,5,,sebulan lalu,,,,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:09
Ci9DQUlRQUNvZENodHljRjlvT210bGRVaHNZVFpWZFdKd1ZVeEVUVEZQU2xkS1IxRRAB,Adeng,5,Tempatnya sangat nyaman dan makanannya enak 'Fadia,2 bulan lalu,,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:09
Ci9DQUlRQUNvZENodHljRjlvT21VeVoxbGpRelZMVDI1dWFVRnBabGR0YkRseFkyYxAB,Nur Alam,2,,Diedit 2 bulan lalu,1,1,1,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:09
Ci9DQUlRQUNvZENodHljRjlvT25KblMzaEhRVkZxTUhZeFJqTmhNMjVEVlRCM2IxRRAB,"MUH. ANSHARI, S.Pd.",1,"Pelayanan zonk... Pesan 3 porsi yang keluar hanya 1 porsi... Sangat tidak rekomendasi... Maaf untuk bintang 1 nya, semoga ke depan bisa lebih baik lagi...
Saya tunggu dari magrib sampai hampir masuk waktu isya",2 bulan lalu,3,1,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:09
Ci9DQUlRQUNvZENodHljRjlvT2w5dk16Wm9RWHBVZVdObWFGQXhXbWwzT1drM1FYYxAB,Nur Amaliah,5,Bagus,2 bulan lalu,4,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:09
Ci9DQUlRQUNvZENodHljRjlvT2xkRVdWRkZVWFp4VmxWdWIxODFUbkJyTTJsc1FrRRAB,Risky Aditiya,5,Tempat nya nyaman suasana adem dan nyaman pelayanan nya sopan dan santun Andi whyne,2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:09
Ci9DQUlRQUNvZENodHljRjlvT25oeVdpMURXVWgwU0RkaU1uVnhWMUJoY1ZkMFFtYxAB,Syakti Basri,5,keren banget pelayanannya andiwhyne ramah dan sopan,2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:30
Ci9DQUlRQUNvZENodHljRjlvT204MWJXNVRSSFpOVlUxYVRXMWZUWFJNV0ZsS2EyYxAB,01. A. Rosmawati,5,Pelayanannya baik (fajrin) dan makanannya enak,2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:30
Ci9DQUlRQUNvZENodHljRjlvT2toWlQxVjBPVzlrWldGbVNUaHNRM0UyWjFKdWVWRRAB,Beet fi Sangar,5,"Pelayanan ramah,makanannya recomendid(Thanks kak tyara)",2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:30
Ci9DQUlRQUNvZENodHljRjlvT25wWk1WWnlOak0yWDE5cGQxRk1ibEEwWVc1MGEwRRAB,nuralya nazifa,5,makanannya enak puas temptnya nyaman pelayanannya baik ramah(Risma),2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:30
Ci9DQUlRQUNvZENodHljRjlvT21sSUxXMW1OVFphVVRSMk1FUnZWRUUzYWxOM2MyYxAB,NOVIANTI NOVIANTI,4,Pelayanan wina,2 bulan lalu,4,4,4,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:30
Ci9DQUlRQUNvZENodHljRjlvT2kxV2NYWkJka1p1TVc5VFRtWkRaRkZsZEdFMFRuYxAB,Hasna,5,"pelayanan bagus, makanan enak
(fajri)",2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:30
Ci9DQUlRQUNvZENodHljRjlvT2xwSlRqbFFWMFJXY1dRNFZuTk9ZWHBYU0hoYVNuYxAB,Nur EliA,5,Pelayanan ramah wina,2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:30
Ci9DQUlRQUNvZENodHljRjlvT2pKak5YWnJRMHB1ZFhJelFuSk1Vazl2UmxCT04wRRAB,2 dan 3,5,Makanannya enak viewnya jga tenang dan sejukpelayananya jga gercep (Fajrin),2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:30
Ci9DQUlRQUNvZENodHljRjlvT21STVFuVnFkbnB5Y1hONFEzVkdVVXR5ZGxkU1RYYxAB,SALSABILA RAMADANI,5,"nyaman,tidak panas karna ada kipas,tempatnya asri(pelayanan tiara)",2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:30
Ci9DQUlRQUNvZENodHljRjlvT2xjNVYwZ3hSMnc0ZEdRMlpWWk1RMmd5Y0dWYVFVRRAB,Selamat Riady,5,Enak makananya dn mantap krna suasananya bagus dn tenang,2 bulan lalu,1,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:30
Ci9DQUlRQUNvZENodHljRjlvT2tjeVMwZDFUVGxWV25CaVVuaEZWVjkwTVVKUk5XYxAB,Pung Semma,1,Admin nya malas bls cht,2 bulan lalu,,1,,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:50
Ci9DQUlRQUNvZENodHljRjlvT2psVlNHMW9aRzFGUlZSSU1qVnNkRWxYZVVKdGVsRRAB,Yustika Ramadhani,5,"Pelayanan oleh kak fadiah sangat baik dan ramah, makanan sangt rekomen, dan suasananya sangat tenang",2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:50
Ci9DQUlRQUNvZENodHljRjlvT2paNldrSjZhVUZhUkRrelRraDRUekZLY25GVmJsRRAB,Muh.agfar Saputra,5,Tempatnya bagus makananya enak pelayanan gerep dan ramah(Risma),2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:50
Ci9DQUlRQUNvZENodHljRjlvT2pCV1QyczNlbGczVUZWM2JXSTBjSGN0TkhOa09YYxAB,Ahmad nur rahman,5,Nama pelayan wina,2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:50
Ci9DQUlRQUNvZENodHljRjlvT2xaRGVtNXNPR1ZQVlhjM1pHSTNRM0ZCYVZnd2ExRRAB,Subhan Wtp,1,"makanan B aja,
tdk recommend kesini,
makan di tempat makan berdiri mq sja, nanti di tagih bayar tambahan kalau duduk.
makanan G lengkap",2 bulan lalu,1,1,1,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:50
Ci9DQUlRQUNvZENodHljRjlvT2xsaVdWZHJOMHRYWWtWMVZtbExOa2hRTFRFME5sRRAB,syam suryani,5,pelayananx bagus (fadia),2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:50
Ci9DQUlRQUNvZENodHljRjlvT2s5MFZHbHNPWHBQVFZGbmNsaFBRUzFyY21oWVRtYxAB,Em Amin Saputra,5,Rekomendasi tempat berbuka puasa sangat memuaskan pilihan menunya yang banyak dan segar,2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:50
Ci9DQUlRQUNvZENodHljRjlvT2pGMFdsOVRibHAxVlZWc1JVVmxNWGh6TXpKU0xYYxAB,aswidah Tauhid,5,Tempat yg nyaman untuk menikmati waktu luang dengan keluarga.( Risma) pelayanan yg prima,2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:50
Ci9DQUlRQUNvZENodHljRjlvT2tkRWQxZFVZek14TUhoa2VqaHBiVXBtYUhSeVlrRRAB,farlina Santi,5,"Suasananya suka krn adem
Makanan enakkk
Sesuai dengan harapan

Anisa",2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:50
Ci9DQUlRQUNvZENodHljRjlvT2xWdVJWWkxNSEkzT1VabFFYSk1SR1UzTFZCSk1sRRAB,Umar Hunaing,5,"Suasananya sejuk, makanannya enak dan gurih

Kak Nisa",2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:30:50
Ci9DQUlRQUNvZENodHljRjlvT2pSWVpWQjFTRTR6YkhaeGRVSldWbXBaTVZGVFVXYxAB,Evi Ariska,5,Tmptnya nyaman dan pelayanannya cepat plus sma dengn witersnya ramah ramah ( risma),2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:11
Ci9DQUlRQUNvZENodHljRjlvT2psUVpIZHVWRmxGVTNkSldYWkdSVFIyUVdoWFZrRRAB,Nur Esa,5,"Rasa makannya enak
Pelayananya ramah
Suasananya nyaman
(Fajrin)",2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:11
Ci9DQUlRQUNvZENodHljRjlvT25BekxVMHliV1JuUW5OdWRVOURTR2M1ZDJ0ZmNXYxAB,Ihdal Husnawati,5,mantapp (pelayanan tiara),2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:11
Ci9DQUlRQUNvZENodHljRjlvT2xOVFEwdGFiVEJKVlZvMlRrNVZjbVZSYkVWQ1pHYxAB,Anjas Mara,5,Pelayanan bagus nisa,2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:11
Ci9DQUlRQUNvZENodHljRjlvT2xaTmFVTm9PVWRSYzJ0cGJqSk9ha1IwWVVSYVFVRRAB,asri alfiann,5,pelayanan bagus Fadia,2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:11
Ci9DQUlRQUNvZENodHljRjlvT25WM01XUjRjRmhZVldKMFZUTkxUV0ZTWmtOTVlXYxAB,Amalsad 11,5,"Pelayanan yang baik,tempat nyaman(Tiaraaa)",2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:11
Ci9DQUlRQUNvZENodHljRjlvT21zd1dsQlRUV0ZpZWw5dVZIUllSSHBwUVVnMVJIYxAB,Fandi ii,5,PELAYANAN BAGUS WINA,2 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:11
Ci9DQUlRQUNvZENodHljRjlvT2pKcFRGRXRNbGszZEhZMlgweEpZbTlVVEhkWFZrRRAB,wiraratu Wiraratu,5,"Memuaskan, suasana stetik

Anisa",3 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:11
Ci9DQUlRQUNvZENodHljRjlvT2s5Rk5XSXhPVVpHUkU4dGJWRkxOVk5TYVd3NGVGRRAB,Ansal Reza,5,"Bgus pelyanax susanax jga bgus

Anisa",3 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:11
Ci9DQUlRQUNvZENodHljRjlvT2xaSExYbFVOalZEYVhkNE1rNU5WRVJUTjNSeWQyYxAB,Yesi Saputri,5,Makanannya enak tempatnya bgus pelayanannya ramah bagus (Risma),3 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:11
Ci9DQUlRQUNvZENodHljRjlvT2xWc1NESnhUM1ZQVUd4NlRVZHpRbTFvTm5oUlIyYxAB,Revanya Zaskia Meiliana,5,Pelayanan wina sangat baik dan ramah,3 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:31
Ci9DQUlRQUNvZENodHljRjlvT2preVdHNXFNRTB6TTFOSGNXUnhiRXhVTWpKTlozYxAB,Sri Raodha,5,Makanan mantap suasananya sejuk dan bersih dan pelayanannya gercep (Fajrin),3 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:31
Ci9DQUlRQUNvZENodHljRjlvT2tOV1ZUWlZkV1JGTkhoeVlYUXhkMlZ5Vmw5WGEwRRAB,Beeku My Youtube Channel,5,"Makannya enak, pelayanan ramah dan cepat, suasananya adem. Makanannya semua enak enak. Dilayani sama Fadyah. 😍❤️",3 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:31
Ci9DQUlRQUNvZENodHljRjlvT2tSTU56UTJXRlpQUW1wUWRXTTFMVzl6UW1SNmJFRRAB,Muzdalifah Jidin,5,enakk ( pelayan tiaara),3 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:31
Ci9DQUlRQUNvZENodHljRjlvT2tOQ1ZISjRZeTFxVW01T2N6SlBja2x2VjBWbVMxRRAB,solowajo,1,,3 bulan lalu,3,1,4,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:31
Ci9DQUlRQUNvZENodHljRjlvT2xkSFVsVlJNR0pGTm01NlZUVk1TVkpQYjFKRFlYYxAB,Amel 11,5,"Makanan enak, pelayanan ramah, (Risma)",4 bulan lalu,5,5,5,Saoenk Cobek Bone,Google Maps,2026-06-09 16:31:31
