review_id,nama_pengguna,rating,komentar,tanggal,rating_makanan,rating_layanan,rating_suasana,cabang,platform,tanggal_scraping
Ci9DQUlRQUNvZENodHljRjlvT2xGVldEaFZRVkpDY201aGFYQTJPVXRuWmxZM1ZIYxAB,Yusni-RAMA Ananda Pratama,5,,53 menit lalu,,,,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:16
Ci9DQUlRQUNvZENodHljRjlvT25CWlpWVk1XbFZuTkZvelVHbHNWV1psWTBNNWNGRRAB,Gheo Sentra,4,Rahang tuna nya enak semua,2 hari lalu,5,4,5,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:16
Ci9DQUlRQUNvZENodHljRjlvT2tnNExXNWZMVEpSTW1SRlRFVk5jbEZOWVdoemNXYxAB,Aktsara Nafirah,2,"Tempatnya sunyi,dan kurang bersih
Makanan biasa saja cuminya cuman 5 potong, sambelnya sangat sedikit,ayam bakar menteganya kecil dan biasa saja
Tidak sesuai harga dan rasanya",2 hari lalu,,,,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:16
Ci9DQUlRQUNvZENodHljRjlvT2tWNFMydHFSMm96TjJSdGRIVm5ObU5LVGpCQlkyYxAB,Kami Project,1,"Tempat makan terburuk yang pernah saya datangi, harga makanannya over price, tempatnya amat sangat kotor, pesannya rahang tuna harga 45 ribu dagingnya seuprit, karyawannya main hp tidak melayani dengan baik. Pantas sunyi🤧",4 hari lalu,1,1,1,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:16
Ci9DQUlRQUNvZENodHljRjlvT25sUE5XSmZXRkp4ZW1Zd2FGZHhMVEZ3VkRCNExYYxAB,Indra Cs,5,,seminggu lalu,5,5,5,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:16
Ci9DQUlRQUNvZENodHljRjlvT2xSNFRuaDJPRm93ZDJNMVVrcDJibUU0YUZkdmExRRAB,Indra Lesmana,1,,2 minggu lalu,1,1,1,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:16
Ci9DQUlRQUNvZENodHljRjlvT2xvdFZrMDBWekpJYmxBdFRVeENlV04wTWxVdFFVRRAB,Muh Nailul,5,"tempat nya nyaman pelayanan cepat dan ramah, perbanyak ikan koi nya🤩",sebulan lalu,5,5,5,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:16
Ci9DQUlRQUNvZENodHljRjlvT2xWeVJsSnFUa0YzWm5vd2VVUlNUVWxHTTI1MFVrRRAB,Yanto Idris,5,"Wahhh mantap banget, makanannya sangat enak dan suasana nyaman, pelayanan terbaik",sebulan lalu,5,5,5,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:16
Ci9DQUlRQUNvZENodHljRjlvT2pKVVFsUjRaekEzYkhGRWJtMWlkazlTTkZCQ2VuYxAB,Nasru Loh,5,mantap pelayanan nya,sebulan lalu,5,5,5,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:16
Ci9DQUlRQUNvZENodHljRjlvT214UFNVOVlkRkpoYjBOVk9EaFNkbmQwU1UxVlNVRRAB,Srii Wahyunii,5,Baguss,sebulan lalu,5,5,5,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:16
Ci9DQUlRQUNvZENodHljRjlvT25sQ04xaHRZbEIxVHpGbU1FeHhkV2h6Ymt0R1MxRRAB,Rusdiahwan Wawan,1,Pelayanan sangat lama,sebulan lalu,,,,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:37
Ci9DQUlRQUNvZENodHljRjlvT21GM09HRjFTVTVpYWsxV1NVOU1SRWcyTWxGd2NrRRAB,Utbah Utbah,5,,sebulan lalu,5,5,5,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:37
Ci9DQUlRQUNvZENodHljRjlvT2xOTFJXSkpjUzB4Vkc5a1RtYzFlbTVtYTBSRVoxRRAB,Andi Mutmainnah,5,,sebulan lalu,5,5,5,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:37
Ci9DQUlRQUNvZENodHljRjlvT25kMFNWRTFjWEUxYmtSWk9FSm1SWEJzTmtVdFpFRRAB,Burhanuddin Abbas,5,Kerja bagus,sebulan lalu,5,5,5,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:37
Ci9DQUlRQUNvZENodHljRjlvT210c04yNXNVRFV4Tm1OT1IwMTNTak5rVFZocWNIYxAB,Riana Natasya,5,Danil,sebulan lalu,5,5,5,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:37
Ci9DQUlRQUNvZENodHljRjlvT2pOT2FXSTRXRFJtTVVoTFNrb3pPRWhaVmpoQlgzYxAB,nabila,5,Pelayananny cepat dan rama,sebulan lalu,5,5,5,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:37
Ci9DQUlRQUNvZENodHljRjlvT2pOSFlUazRiVlZ2T0RKb09VeHdjaTExWTI5a1UwRRAB,Farhaq Al Fariq,5,,sebulan lalu,5,5,5,Saoenk Cobek Samata,Google Maps,2026-06-09 14:37:37
