review_id,nama_pengguna,rating,komentar,tanggal,rating_makanan,rating_layanan,rating_suasana,cabang,platform,tanggal_scraping
Ci9DQUlRQUNvZENodHljRjlvT2pWSk4ySk5Oa1F5YWtGaFRWVnlMVE01VWpSbWRuYxAB,Mety,5,"Pelayanan mantap
Mkasih mba ninis",6 jam lalu,5,5,5,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:09
Ci9DQUlRQUNvZENodHljRjlvT21WalNIb3dielZzYlhKZmVXSnhhRVpoUTNOSmJFRRAB,Niputu Kyran,4,,1 hari lalu,4,5,5,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:09
Ci9DQUlRQUNvZENodHljRjlvT2xNNFVIQmtSV3BMY1ZkdmNHaFlXSE0zVUZCbE9YYxAB,Andi Azriel Akbar,5,Apa kabar Daniel?,4 hari lalu,5,5,5,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:09
Ci9DQUlRQUNvZENodHljRjlvT2pGdWFEYzRaR013WTJ4WFoxVlFNa1ZWV1dVdE1sRRAB,MANG . EAKK,5,Pelayanan kak Danil bagus,4 hari lalu,5,5,5,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:09
Ci9DQUlRQUNvZENodHljRjlvT21wRE1GQlhWM0pYT0hsbVZrTkdVVTV1UzFSUU0zYxAB,Masdul,5,,seminggu lalu,5,5,3,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:09
Ci9DQUlRQUNvZENodHljRjlvT25sRlZrdHFhSE13WkRsTFYxOWhXSEpEYUVGTGVVRRAB,wirna wati,5,Daniel sangat bagus pelayanannya,seminggu lalu,5,5,5,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:09
Ci9DQUlRQUNvZENodHljRjlvT25SVVYxWkpOWGxQYWxKVWEwOWlUemg0VDNKVE5uYxAB,Sahid Iqbal,4,"Makanannya benar-benar enak, karena mereka punya banyak pilihan masakan di menu mereka, Anda bisa memesan makanan tradisional Makassar di sana.",seminggu lalu,5,4,4,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:09
Ci9DQUlRQUNvZENodHljRjlvT2xsaWIxQmphVk5mTmpOQ1NYbzJhMHd0YlZkNlExRRAB,Ita Yunita,5,"Tempatnya bagus & nyaman
Parkirannya luas
Alamatnya mudah di jangkau

#Danil",seminggu lalu,5,5,5,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:09
Ci9DQUlRQUNvZENodHljRjlvT2xweWVqaFplbWszUTFoWFlsRjFUSE5QYjNOU1NrRRAB,Lizhna Karim,5,Pelayanannya an pak Danil Baik,seminggu lalu,5,4,5,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:09
Ci9DQUlRQUNvZENodHljRjlvT2tadE5Ua3hXbFJ0TkROZmJrTlNUMHhXTVhNMVUzYxAB,Virene Tulak,4,,seminggu lalu,4,4,4,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:09
Ci9DQUlRQUNvZENodHljRjlvT21kRmFHZGpaM2xzVVhkalpUbGtNemRzUXpGa1dHYxAB,Nia Ramadany,1,Pelayanan lama nggk worthit bayar mahal tidak sesuai rasa,seminggu lalu,2,1,5,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:30
Ci9DQUlRQUNvZENodHljRjlvT2sxYU1IaEtZVkZZYUZCVk5pMTFhR2h5UkhCYVpWRRAB,Verial Vee,2,"Klo bandingin dengan saung cobek lainnya, yg ini lama pelayanan nya... Pilihan menu biasa nd lengkap",seminggu lalu,5,2,3,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:30
Ci9DQUlRQUNvZENodHljRjlvT21wVVZ6WXplamhuV0hweGFWWkxWRVpQZUc1b1FrRRAB,TIDAK TAU,5,Makasih kaka daniel ats pelayananya tadi,2 minggu lalu,5,5,5,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:30
Ci9DQUlRQUNvZENodHljRjlvT2poeE5ITmlibVJKY210eVZGUlpPRVpPY3pKbmFVRRAB,andi amril,4,"Makanannya enak dan pelayanan cepat,ramah dan tempatnya bagus.terima kasih pelayanannya daniel",2 minggu lalu,4,4,5,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:30
Ci9DQUlRQUNvZENodHljRjlvT21GelFVTjFUbUpXUW10aFIwUnNka3BSTW5SNk5HYxAB,Freya Jr,5,Bagus dan nyaman,3 minggu lalu,5,5,5,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:30
Ci9DQUlRQUNvZENodHljRjlvT2t4aVFYbEtaUzFJVUZrME4wWnBiblowUlRoUGEyYxAB,yeri birana,5,Semoga pelayanan x semakin baik dan untuk pak Daniel yg ramah terhadap tamu pokoknya jempol buat dia👍,3 minggu lalu,5,5,5,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:30
Ci9DQUlRQUNvZENodHljRjlvT2tGTVMwZFdVMlZ0U0V4Q2NISnZXRlp6ZFMxTU5IYxAB,Muh.irfan Ippang,5,Daniel pelayan nya baik sekali,3 minggu lalu,5,5,5,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:30
Ci9DQUlRQUNvZENodHljRjlvT2pkNWNYcFhWVXRJWWxrM2VrRkpUakIxU0dsWWFrRRAB,Bambang Abdulla,5,Mksih mba ninis,3 minggu lalu,5,5,5,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:30
Ci9DQUlRQUNvZENodHljRjlvT2poS1kwcHVTMnM0WlhOWlYwODFWWE5yUzFGMlRXYxAB,Fathur Rachman,5,"Cukup rekomended untuk keluarga,makan cepat saji,suasana nyaman dan pelayanan baik.Big thank's for Ninis and goodjob🙏👍🤝 pertahankan pelayanannya 👍🤝",3 minggu lalu,4,5,4,Saoenk Cobek Sudiang,Google Maps,2026-05-14 20:45:30
