emoji,kata
👍,bagus
🤙,bagus
👏,bagus
🔥,bagus
⭐,bagus
🌟,bagus
💫,bagus
✨,bagus
💯,sempurna
👌,sempurna
🙌,rekomendasi
😍,suka
🥰,suka
❤️,suka
❤,suka
💕,suka
💖,suka
💗,suka
💓,suka
💞,suka
🧡,suka
💛,suka
💚,suka
💙,suka
💜,suka
😊,senang
😄,senang
😁,senang
😃,senang
😀,senang
🤗,senang
🥳,senang
🎉,senang
🎊,senang
😆,senang
😸,senang
🤩,kagum
😲,kagum
😋,enak
🤤,enak
😒,kecewa
😞,kecewa
🙁,kecewa
☹️,kecewa
☹,kecewa
😢,kecewa
😭,kecewa
💔,kecewa
😔,kecewa
😟,kecewa
😓,kecewa
😡,marah
😠,marah
😤,kesal
😫,kesal
😩,kesal
🤬,marah
🤮,jijik
🤢,jijik
👎,jelek
💩,jelek
🤦,kesal
🤔,bingung
🙃,pasrah 
🫠,kecewa 
