slang,formal
gak,tidak
ga,tidak
ngga,tidak
nggak,tidak
nda,tidak
ndak,tidak
enggak,tidak
kagak,tidak
gk,tidak
tdk,tidak
gag,tidak
ndk,tidak
ngk,tidak
tak,tidak
ta,tidak
yg,yang
bgt,banget
bngt,banget
tp,tapi
tpi,tapi
ttpi,tapi
krn,karena
karna,karena
krna,karena
kerna,karena
kerjsama,kerjasama
udah,sudah
udh,sudah
sdh,sudah
blm,belum
blum,belum
emg,memang
emang,memang
mmg,memang
byk,banyak
bnyk,banyak
bnyak,banyak
sgt,sangat
lgsg,langsung
lgs,langsung
lngsng,langsung
lngsg,langsung
jd,jadi
jdi,jadi
lg,lagi
lgi,lagi
msh,masih
hrs,harus
msti,harus
sm,sama
sma,sama
dr,dari
pd,pada
dgn,dengan
dngan,dengan
dngn,dengan
utk,untuk
tuk,untuk
bila,apabila
klo,kalau
klu,kalau
klw,kalau
kl,kalau
kalu,kalau
jg,juga
bs,bisa
bsa,bisa
sprt,seperti
kyk,seperti
kayak,seperti
bkn,bukan
dtg,datang
dtng,datang
cb,coba
nyoba,coba
tmn,teman
tmen,teman
saemua,semua
smua,semua
smw,semua
sja,saja
sj,saja
doang,saja
doank,saja
aja,saja
lbh,lebih
lbih,lebih
dlm,dalam
jgn,jangan
ktemu,ketemu
kluar,keluar
blg,bilang
bls,balas
dna,dan
uat,buat
pdhl,padahal
sdkt,sedikit
sdikit,sedikit
gitu,begitu
bgtu,begitu
gini,begini
cuma,cuman
mksh,makasih
makasih,makasih
makasi,makasih
terimakasih,makasih
trima kasih,makasih
trimakasih,makasih
thank,makasih
mksih,makasih
mksi,makasih
mkasih,makasih
thx,makasih
thanks,makasih
ty,makasih
tq,makasih
mantul,mantap betul
mantal,mantap
mantep,mantap
mantabs,mantap
mantab,mantap
mantapp,mantap
mntap,mantap
mntapp,mantap
mntp,mantap
matap,mantap
maknyus,enak
maknyos,enak
makyus,enak
maknyuus,enak
endeus,enak
endus,enak
nampol,enak
nagih,enak
pol,enak
yummy,enak
nyam,enak
nyummy,enak
wuenak,enak
wenak,enak
enakk,enak
enaak,enak
enak2,enak
enaknya,enak
lezat,enak
lezatnya,enak
sedap,enak
nikmat,enak
nikmatnya,enak
enk,enak
enaq,enak
enq,enak
delicious,enak
jos,bagus
joss,bagus
josss,bagus
good,bagus
guuuud,bagus
great,bagus
nice,bagus
niceee, bagus
top,bagus
bgus,bagus
bgs,bagus
keren,bagus
kerenn,bagus
ajib,bagus
sick,bagus
gacor,bagus
bad,buruk
parah,buruk
payah,buruk
hancur,buruk
worst,terburuk
jlek,jelek
zonk,kecewa
nyesel,kecewa
kapok,kecewa
nyesal,kecewa
menyesal,kecewa
kecewakan,kecewa
mengecewakan,kecewa
puass,puas
puasss,puas
rame,ramai
fresh,segar
seger,segar
best,terbaik
overrated,berlebihan
lebay,berlebihan
ok,oke
okay,oke
oky,oke
recomend,rekomendasi
recommended,rekomendasi
recomended,rekomendasi
recommend,rekomendasi
rekomen,rekomendasi
recomendeee,rekomendasi
rekomend,rekomendasi
rekomended,rekomendasi
rekomendid,rekomendasi
rekomendet,rekomendasi
recomed,rekomendasi
rekomedd,rekomendasi
rekomeded,rekomendasi
worth,sepadan
worth it,sepadan
worthit,sepadan
worthed,sepadan
